title,alias,artists,artist_aliases,country,genre,language,duration,notes
Freak-a-Zoid,,"Midnight Star",,USA,Electro,English,485,Ox
"Зачем",Zachem,"5sta Family, АДЛИН, Килджо","ADLYN, Kyldzho",Russia,Phonk,Russian,168,R/U
Zachem,,"5sta Family, 6YNTHMANE, BAbyBoi",,Russia,"phonk pop",Russian,112,R/U
"Ничья","Nych'ja",Nichya,,Russia,Pop,Russian,200,R/U
"Rapid Racer",,Lone,,UK,Dance,,252,Fx
"Про красивую жизнь","Pro krasyvuju zhyzn'","Банд’Эрос","Band’Эros",Russia,Pop,Russian,221,R/U
"Дай пять","Daj pjat'","Банд’Эрос","Band’Эros",Russia,Pop,Russian,181,R/U
"Coffin Nails",,"MF DOOM",,USA,,,176,Fx
"Hot Summer",,Monrose,,Germany,"Dance pop",English,210,Pop
"Never Leave You (Uh Oooh, Uh Oooh)",,Lumidee,,USA,R&B,English,184,Pop
Righteous,,"Mo Beats",,USA,"Hip hop",,163,Fx
"Mais Que Nada",,"Sergio Mendes & Brasil '66",,Brazil,"Bossa Nova",Portuguese,159,Br
Kerosene,,"Crystal Castles",,Canada,House,,192,Fx
"Lying Has To Stop (feat. LA Priest, Connan Mockasin)",,"Soft Hair, LA Priest, Connan Mockasin",,,"Funk pop",English,356,Contemp
"Drowning Butterflies",,"The Cleaners From Venus",,UK,"Indie pop",English,300,UK
"See Tình (Cukak Remix) (feat. Cukak)","See Tình (Cukak Remix)","Hoàng Thùy Linh, Cukak","Hoàng Thùy Linh",Vietnam,V-pop,Vietnamese,170,Viet
Tension,,"Kylie Minogue",,Australia,"Dance pop",English,216,Pop
"Paso (The Nini Anthem) - Radio Edit",,"Sak Noel",,Spain,"Dance pop",English,197,Fx
"Monstrão","Monstrão","Anitta, DENNIS",,Brazil,"Tamborzão",Portuguese,127,Br
"Night Nurse",,"Gregory Isaacs",,Jamaica,Reggae,English,249,Reggae
Nasty,,"The Damned",,UK,Punk,English,169,UK
"Coral Mimic",,Iglooghost,,UK,Industrial,English,206,Fx
Pedro,,"Raffaella Carrà, Jaxomy, Agatino Romero","Raffaella Carrà",,EDM,Italian,144,It
"Here We Go (Uh Oh)",,"Coco Jones",,USA,R&B,English,216,R&B
"Ate That",,"YOUNG POSSE",,Korea,Kpop,Korean,180,K
"Sounds Like a Melody",,Alphaville,,UK,"Synth pop",English,285,UK
"mr useless (feat. SG Lewis)",,"Shygirl, SG Lewis",,UK,"Dance pop",English,149,Pop
"thicc (feat. Cosha)",,"Shygirl, Cosha",,UK,"Dance pop",English,222,Pop
"The Substance",,Raffertie,,UK,"Dark ambient",,150,Fx
"Vmeste My",,"5sta Family, 6YNTHMANE, budAGE",,Russia,"Dark pop",Russian,123,R/U
Headlock,,"Imogen Heap",,UK,Electropop,English,215,Pop
"Strange Moves (feat. KAZAKY)",,"The Hardkiss, KAZAKY",,Ukraine,Electropop,English,191,R/U
"Кохаю, але не зовсім","Kokhaju, ale ne zovsim",DOROFEEVA,,Ukraine,"Dance pop",Ukrainian,199,R/U
"Японія",Japonija,DOROFEEVA,,Ukraine,"Dance pop",Ukrainian,154,R/U
"Забий",Zabyj,"Wellboy, Parfeniuk",,Ukraine,"Dance pop",Ukrainian,194,R/U
"Температура",Temperatura,"Parfeniuk, KOLA",,Ukraine,"Dance pop",Ukrainian,176,R/U
"Долоні",Doloni,Parfeniuk,,Ukraine,"Dance pop",Ukrainian,164,R/U
"Smoke Me",,"Sasha Lopez, Misha Miller",,Moldova,Pop,English,220,Pop
"Touché","Touché","Misha Miller, SICKOTOY",,Moldova,Pop,French,151,Pop
"Касета",Kaseta,SadSvit,,Ukraine,"Post punk",Ukrainian,144,R/U
Opr,,Gesaffelstein,,France,"Dark techno",,233,Fx
"I Felt Love",,"Blue Hawaii",,Canada,"Synth pop",English,192,Fx
